index,authors,title,publish_date,description,main_story,url
1756,['Cbc News'],"What you need to know about COVID-19 in Ottawa on Thursday, April 16",2020-04-16,CBC Ottawa's latest roundup of key points during the coronavirus pandemic.,Recent developments: Another OC Transpo driver tests positive for COVID-19. Quebec has asked for m...,https://www.cbc.ca/news/canada/ottawa/covid19-coronavirus-ottawa-symptoms-information-april-16-1.553...
1757,"['Janet Davison Is A Cbc Senior Writer', 'Editor Based In Toronto.']",The pandemic puts the royals online — and 'at their best',2020-04-19,"When Prince William opened a hospital to care for COVID-19 patients via video link, the novel way of...","Hello, royal watchers. This is your regular dose of royal news and analysis. Reading this online? Si...",https://www.cbc.ca/news/world/royal-fascinator-pandemic-royals-online-1.5536530
1758,[],"COVID-19 hospitalizations fall to 96 in B.C., but 4 more deaths recorded",2020-04-24,"The number of patients hospitalized with COVID-19 has dipped to 96 in B.C., but the province continu...","The number of patients hospitalized with COVID-19 has dipped to 96 in B.C., but the province continu...",https://www.cbc.ca/news/canada/british-columbia/4-more-covid-19-deaths-recorded-in-b-c-bringing-tota...
1759,[],"COVID-19 hospitalizations fall to 96 in B.C., but 4 more deaths recorded",2020-04-24,"The number of patients hospitalized with COVID-19 has dipped to 96 in B.C., but the province continu...","The number of patients hospitalized with COVID-19 has dipped to 96 in B.C., but the province continu...",https://www.cbc.ca/news/canada/british-columbia/covid-19-hospitalizations-fall-to-96-in-b-c-but-4-mo...
1760,['Cbc News'],"There's no playbook' for easing physical distancing amid COVID-19 pandemic, doctor says",2020-04-21,"CBC Radio's Metro Morning asked Dr. Isaac Bogoch, an infectious disease specialist and researcher ba...",Public health experts in Ontario said this week that community spread of the novel coronavirus appea...,https://www.cbc.ca/news/canada/toronto/covid-19-coronavirus-bogosh-distancing-metro-morning-1.553948...
1761,"['Web Journalist', ""Sara Is A P.E.I. Native Who Graduated The University Of King'S College In Halifa...",The view from the other side of the Plexiglas: P.E.I. grocery clerks say pandemic 'hard on the head',2020-04-22,"Islanders working in grocery stores, along with a handful of others including truck drivers and heal...","For many Prince Edward Islanders, the only shopping they are doing since the coronavirus pandemic wa...",https://www.cbc.ca/news/canada/prince-edward-island/pei-sobeys-loblaws-grocery-clerks-front-line-wor...
1762,['Cbc News'],"Ontario's COVID-19 death toll climbs to 698, with 250 people in ICU",2020-04-21,"COVID-19 cases in Ontario have reached 11,735, as the province announced 551 new cases Tuesday morni...","There are now 698 deaths linked to COVID-19 infection in Ontario, according to the latest data colle...",https://www.cbc.ca/news/canada/toronto/covid-19-coronavirus-tuesday-ontario-cases-tests-1.5539337
1763,['Cbc News'],How many chromebooks and iPads were handed out? What the numbers show,2020-04-21,"The Thames Valley District School Board's 80,000 students are transitioning to online learning becau...","It's a Herculean task to transition more than 80,000 students to online learning from home, in an ar...",https://www.cbc.ca/news/canada/london/thames-valley-district-school-board-technology-coronavirus-1.5...
1764,[],Muralists leaving their mark on ByWard Market's boarded-up businesses,2020-04-29,"If you haven’t visited downtown Ottawa since physical distancing measures took effect, you’d be forg...","If you haven't been downtown since physical distancing measures took effect, you'd be forgiven for m...",https://www.cbc.ca/news/canada/ottawa/ottawa-covid19-closed-business-murals-art-1.5547692
1765,"['Chitrangada Choudhury Is A Freelance Journalist', 'Researcher Based In Delhi. Her Reporting Has Fo...",India's COVID-19 lockdown is among the strictest in the world but has yet to slow the spread,2020-04-19,"Four weeks into India's now extended 40-day COVID-19 lockdown, the public health benefits of locking...",Shortly after extending what was already one of the strictest COVID-19 lockdowns by almost another t...,https://www.cbc.ca/news/world/india-lockdown-covid-1.5534551
